,Libellé de la commune,latitude,longitude
0,L'Abergement-Clémenciat,NaN,NaN
1,L'Abergement-de-Varey,46.0070996,5.4233574
2,Ambérieu-en-Bugey,45.9584309,5.3595099
3,Ambérieux-en-Dombes,45.9986509,4.9026418
4,Ambléon,45.7494,5.60137
5,Ambronay,46.0055071,5.3602947
6,Ambutrix,45.9400972,5.336009
7,Andert-et-Condon,NaN,NaN
8,Anglefort,45.9118082,5.8086847
9,Apremont,46.2078288,5.6582683
10,Aranc,46.0035798,5.5076692
11,Arandas,45.896039,5.4877058
12,Arbent,46.2946684,5.680467
13,Arboys en Bugey,NaN,NaN
14,Arbigny,46.4693,4.96173
15,Argis,45.9335,5.49122
16,Armix,45.8490497,5.5858724
17,Ars-sur-Formans,45.9949102,4.8174051
18,Artemare,45.8733939,5.6938637
19,Asnières-sur-Saône,46.3839438,4.8824155
20,Attignat,46.289384,5.16355
21,Bâgé-la-Ville,46.3160115,4.9453034
22,Bâgé-le-Châtel,46.3082,4.92943
23,Balan,45.851337,5.0913076
24,Baneins,46.1104066,4.9014438
25,Beaupont,46.4111987,5.264617
26,Beauregard,48.1314421,-1.7015999
27,Bellignat,46.2418811,5.6293467
28,Béligneux,45.8677365,5.1280072
29,Bellegarde-sur-Valserine,46.1085565,5.8259295
30,Belley,45.760758,5.6861466
31,Belleydoux,46.2525,5.77757
32,Belmont-Luthézieu,NaN,NaN
33,Bénonces,45.8279,5.47378
34,Bény,46.3191,5.28409
35,Béon,45.8553089,5.749666
36,Béréziat,46.3662547,5.0460905
37,Bettant,45.9426142,5.3640601
38,Bey,46.2198175,4.8458111
39,Beynost,45.8400098,5.0008866
40,Billiat,46.0779618,5.784174
41,Birieux,45.952697,5.0393982
42,Biziat,46.2165185,4.943321
43,Blyes,45.8469121,5.2487121
44,La Boisse,45.8416901,5.0328806
45,Boissey,46.3812,4.99533
46,Bolozon,46.1924,5.47327
47,Bouligneux,46.0226664,4.9910219
48,Bourg-en-Bresse,46.2051192,5.2250324
49,Bourg-Saint-Christophe,45.8905,5.16165
50,Boyeux-Saint-Jérôme,NaN,NaN
51,Boz,46.4070777,4.9108811
52,Brégnier-Cordon,45.641274,5.6273182
53,Brénaz,45.9476,5.7231
54,Brénod,46.0597,5.60515
55,Brens,45.7206616,5.6954688
56,Bressolles,45.8654479,5.0952039
57,Brion,45.4149544,2.9613543
58,Briord,45.7826302,5.4589959
59,Buellas,46.2093747,5.1333778
60,La Burbanche,45.8456,5.56159
61,Ceignes,46.1196014,5.4994629
62,Cerdon,46.0802,5.4646
63,Certines,46.1329,5.26458
64,Cessy,46.3168303,6.0697412
65,Ceyzériat,46.1773941,5.3242942
66,Ceyzérieu,45.8352447,5.7262764
67,Chalamont,45.9963055,5.1710728
68,Chaleins,46.0304931,4.804535
69,Chaley,45.9549597,5.531322
70,Challes-la-Montagne,46.1252,5.46365
71,Challex,46.1813779,5.9754766
72,Champagne-en-Valromey,45.9053,5.67998
73,Champdor-Corcelles,NaN,NaN
74,Champfromier,46.1965678,5.8127891
75,Chanay,46.0051563,5.7852059
76,Chaneins,46.097,4.85064
77,Chanoz-Châtenay,46.184,5.02892
78,La Chapelle-du-Châtelard,46.0694732,5.0236073
79,Charix,46.1828814,5.6850819
80,Charnoz-sur-Ain,45.8697,5.22412
81,Château-Gaillard,45.9732,5.30522
82,Châtenay,45.3211,5.22884
83,Châtillon-en-Michaille,46.1438962,5.7985185
84,Châtillon-la-Palud,45.9733894,5.2550896
85,Châtillon-sur-Chalaronne,46.1191397,4.9580413
86,Chavannes-sur-Reyssouze,46.4302,4.99335
87,Nivigne et Suran,NaN,NaN
88,Chaveyriat,46.197565,5.060861
89,Chavornay,46.7041086,6.5781312
90,Chazey-Bons,45.8037541,5.6820946
91,Chazey-sur-Ain,45.8952784,5.2541457
92,Cheignieu-la-Balme,45.8266,5.60695
93,Chevillard,46.1101,5.58126
94,Chevroux,46.3809591,4.9483084
95,Chevry,46.2793,6.0361
96,Chézery-Forens,46.2223938,5.8675338
97,Civrieux,45.920601,4.8826026
98,Cize,46.2044457,5.4467536
99,Cleyzieu,45.9081,5.42877
100,Coligny,46.3828,5.34526
101,Collonges,46.1376178,5.903413
102,Colomieu,45.7331,5.62301
103,Conand,45.8927027,5.4720766
104,Condamine,46.1092,5.55085
105,Condeissiat,46.1562,5.07952
106,Confort,46.1498392,5.8222556
107,Confrançon,46.2676,5.06551
108,Contrevoz,45.8060185,5.6277025
109,Conzieu,45.7262,5.60772
110,Corbonod,45.9668,5.82208
111,Corlier,46.0299,5.49904
112,Cormaranche-en-Bugey,45.951568,5.612052
113,Cormoranche-sur-Saône,46.2401877,4.8319922
114,Cormoz,46.4484,5.2327
115,Corveissiat,46.2439833,5.4823899
116,Courmangoux,46.3307,5.36914
117,Courtes,46.4596,5.09988
118,Crans,45.9637,5.19001
119,Cras-sur-Reyssouze,46.3076,5.16509
120,Cressin-Rochefort,45.7836739,5.7655296
121,Crottet,46.2775889,4.8924243
122,Crozet,46.2806871,6.0134696
123,Cruzilles-lès-Mépillat,46.224019,4.8817863
124,Culoz,45.8476517,5.7809063
125,Curciat-Dongalon,46.4746753,5.1577117
126,Curtafond,46.2705264,5.0896269
127,Cuzieu,45.8172,5.68342
128,Dagneux,45.8541,5.07498
129,Divonne-les-Bains,46.3555644,6.13839
130,Dommartin,46.3374556,4.989071
131,Dompierre-sur-Veyle,46.0718037,5.205424
132,Dompierre-sur-Chalaronne,46.1402717,4.8997271
133,Domsure,46.4194398,5.2944932
134,Dortan,46.3187758,5.6597536
135,Douvres,45.9893837,5.3733069
136,Drom,46.2182,5.3681
137,Druillat,46.0592575,5.3176028
138,Echallon,NaN,NaN
139,Echenevex,46.3115614,6.0495249
140,Etrez,49.1634039,1.7835646
141,Evosges,NaN,NaN
142,Faramans,45.3933,5.16775
143,Fareins,46.0189382,4.760954
144,Farges,46.1683026,5.9059776
145,Feillens,46.3360148,4.8875665
146,Ferney-Voltaire,46.2555744,6.1076131
147,Flaxieu,45.80878,5.7346144
148,Foissiat,46.3703069,5.1757454
149,Francheleins,46.0730429,4.8090252
150,Frans,45.9913112,4.7730096
151,Garnerans,46.2056118,4.8410198
152,Genouilleux,46.1189929,4.7860479
153,Beard-Géovreissiat,NaN,NaN
154,Géovreisset,46.2555561,5.6176569
155,Gex,46.3324378,6.0588831
156,Giron,46.2248289,5.7729124
157,Gorrevod,46.4185,4.94
158,Grand-Corent,46.2014,5.43159
159,Grièges,46.2561,4.85219
160,Grilly,46.3294,6.11394
161,Groissiat,46.2237901,5.6139336
162,Guéreins,46.1073691,4.7804287
163,Hautecourt-Romanèche,NaN,NaN
164,Hauteville-Lompnes,45.9769238,5.600403
165,Hostiaz,45.9020215,5.5346165
166,Haut Valromey,NaN,NaN
167,Illiat,46.1881793,4.8883585
168,Injoux-Génissiat,46.0509637,5.8028838
169,Innimond,45.7833704,5.5721971
170,Izenave,46.0383,5.52318
171,Izernore,46.2205657,5.555109
172,Izieu,45.6515,5.64072
173,Jassans-Riottier,45.98514,4.7567624
174,Jasseron,46.2122209,5.3255283
175,Jayat,46.3651,5.12171
176,Journans,46.1443186,5.33034
177,Joyeux,45.9619025,5.0983315
178,Jujurieux,46.039732,5.4089802
179,Labalme,46.0928,5.48367
180,Lagnieu,45.9034952,5.3480192
181,Laiz,46.2463304,4.8924572
182,Le Poizat-Lalleyriat,NaN,NaN
183,Lancrans,46.1252128,5.8324847
184,Lantenay,47.3351085,4.860963
185,Lapeyrouse,45.9830192,4.976012
186,Lavours,45.8097,5.77294
187,Léaz,46.0984,5.88402
188,Lélex,46.3026091,5.9407475
189,Lent,46.1199017,5.194702
